ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor
GO:0002220,innate immune response activating cell surface receptor signaling pathway,83,-0.5879371961683909,-1.9405018967068273,3.1146028557252475e-7,3.5862941552628283e-6,NA,1694,"tags=33%, list=11%, signal=29%",3929/4814/5058/2867/3824/8878/4057/11027/79931/4067/7128/54209/1535/7305/10333/26191/5336/2219/7096/6850/23643/7097/118788/64127/929/64581/7100,Factor2
GO:0045740,positive regulation of DNA replication,40,0.6208851557128054,2.430337599295799,3.175598215794081e-7,3.64949518030489e-6,NA,1869,"tags=52%, list=12%, signal=46%",993/8317/81620/983/1956/10926/1017/7465/79733/2021/5111/1027/79915/1763/80174/25792/144455/1660/2736/58525/8467,Factor2
GO:0061351,neural precursor cell proliferation,163,0.3740512905865722,1.859755284007554,3.2120613432231886e-7,3.677256434310685e-6,NA,2172,"tags=30%, list=14%, signal=26%",63827/429/3400/284403/259266/1463/9833/9928/131405/5455/5454/2637/23440/5764/9355/29127/4781/2290/1404/4851/23028/2047/5803/58158/10763/79801/1813/7476/1627/50937/3642/6240/1638/6660/55679/63950/5629/9283/5152/5080/7976/4774/3398/2787/6604/3975/84678/54820/64211,Factor2
GO:0070374,positive regulation of ERK1 and ERK2 cascade,158,-0.5157683076109252,-1.8013807448487364,3.206526757009296e-7,3.677256434310685e-6,NA,3584,"tags=44%, list=24%, signal=34%",5908/1139/8482/9590/4889/6754/5155/5345/7066/948/4988/151306/3356/9290/5159/8817/409/3791/8600/5320/960/23779/6363/8837/10347/846/799/148/3084/2185/3690/59/26281/7040/7162/284/388121/6464/10392/4914/64170/1236/6504/3552/10457/3357/2246/59341/408/7124/8829/54209/3624/5031/29108/972/3479/5322/920/26191/728/84868/8792/3383/1436/1116/64127/1230/8685/2358,Factor2
GO:0036336,dendritic cell migration,27,-0.7740124795222137,-2.1640993773612034,3.231594123738006e-7,3.692544260699488e-6,NA,2114,"tags=67%, list=14%, signal=57%",54795/6363/51676/7852/1236/6504/3577/3579/6352/91662/81704/5294/1234/1230/240/56833/7226/729230,Factor2
GO:0045670,regulation of osteoclast differentiation,60,-0.63976940209509,-2.031078322827725,3.274773388562769e-7,3.7347415591700585e-6,NA,2696,"tags=47%, list=18%, signal=38%",7130/9290/814/51208/2353/8600/7098/9607/1435/10272/4982/133522/4286/796/4057/84959/1051/2200/8111/7124/54209/3635/11006/7305/8792/10859/1230/9935,Factor2
GO:0002446,neutrophil mediated immunity,36,-0.7123933945822895,-2.094663082161679,3.482141148919103e-7,3.963671524941059e-6,NA,1040,"tags=42%, list=7%, signal=39%",57126/64170/84106/6813/171389/3570/306/6372/6688/5724/3569/3689/54210/6850/3684,Factor2
GO:0050856,regulation of T cell receptor signaling pathway,41,-0.6880330856940482,-2.0667195437431856,3.5168591621635673e-7,3.995579915036023e-6,NA,2708,"tags=61%, list=18%, signal=50%",10892/1845/3958/7070/100/5621/5771/3988/50852/4068/1540/634/1236/53347/84174/84433/5795/11314/3783/3932/11006/5777/10666/7805/26191,Factor2
GO:0046850,regulation of bone remodeling,47,-0.6755204540193961,-2.07492759831466,3.574247715381921e-7,4.0530748286759695e-6,NA,2302,"tags=47%, list=15%, signal=40%",8600/9607/3952/4982/284266/133522/5166/3690/796/7018/84959/338773/101/7128/3635/6696/3569/6850/26585/8792/1436/57817,Factor2
GO:1901970,positive regulation of mitotic sister chromatid separation,21,0.7687189177041482,2.532336287458929,3.646161892162623e-7,4.105563327850741e-6,NA,191,"tags=43%, list=1%, signal=42%",11065/221150/9212/991/332/55143/9787/9700/220134,Factor2
GO:0002544,chronic inflammatory response,20,-0.8108213730003357,-2.1496549848040263,3.648015607578219e-7,4.105563327850741e-6,NA,1202,"tags=65%, list=8%, signal=60%",820/201294/10563/1051/7124/7128/8876/6352/64332/6279/3586/6280/7057,Factor2
GO:0002686,negative regulation of leukocyte migration,39,-0.69503173812154,-2.07994455923805,3.633971614684732e-7,4.105563327850741e-6,NA,2899,"tags=62%, list=19%, signal=50%",23143/7130/11117/9518/100/1588/3162/56477/11240/2841/1265/347/1843/79890/9353/1803/11314/969/131450/6387/26585/5734/56833/6347,Factor2
GO:0034103,regulation of tissue remodeling,70,-0.6177704007885328,-1.9916543613221607,3.644894522679051e-7,4.105563327850741e-6,NA,2622,"tags=46%, list=17%, signal=38%",51208/4921/7060/8600/9607/3952/4982/284266/133522/5166/3690/64114/7040/796/634/7018/84959/10457/5468/338773/101/7128/3635/3606/3600/6696/3569/6850/26585/8792/1436/57817,Factor2
