ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor,neglog10_padj,Term
GO:0060285,cilium-dependent cell motility,130,-0.6805060495926585,-3.1767675815214815,1e-10,1.6741666666666666e-8,NA,2718,"tags=55%, list=18%, signal=46%",493/164714/147700/284076/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/79659/151651/55567/7320/1770/64518/583/135138/29922/64147/64800/221421/582/2622/219681/85478/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/146754/26140/1767/83659/10233/1768/83853/80258/79925/199223/7802/55036/219670/642987/345895/55329/27019/154865/56171/246176/57639/26206/158787,F7,MOFA,NA,7.776201309299376,cilium-dependent cell motility
GO:0060294,cilium movement involved in cell motility,128,-0.680823790552004,-3.1753631051319853,1e-10,1.6741666666666666e-8,NA,2718,"tags=55%, list=18%, signal=46%",493/164714/147700/284076/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/79659/151651/55567/7320/1770/64518/583/135138/29922/64147/64800/221421/582/2622/219681/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/146754/26140/1767/83659/10233/1768/83853/80258/79925/199223/7802/55036/219670/642987/345895/55329/27019/154865/56171/246176/57639/26206/158787,F7,MOFA,NA,7.776201309299376,cilium movement involved in cell motility
GO:0001578,microtubule bundle formation,86,-0.7016081321017986,-3.059185064172256,1e-10,1.6741666666666666e-8,NA,1108,"tags=45%, list=7%, signal=42%",7320/136332/583/65999/221421/2622/57545/85478/84223/27148/644890/339829/84217/79582/8481/51673/54970/27285/146754/26140/1767/200162/10233/54768/25876/51364/79925/64446/55036/374407/2302/345895/55329/27019/6674/56171/246176/57639/89765,F7,MOFA,NA,7.776201309299376,microtubule bundle formation
GO:0030317,flagellated sperm motility,112,-0.6692649021748429,-3.0332506271789574,1e-10,1.6741666666666666e-8,NA,2718,"tags=54%, list=18%, signal=44%",493/164714/147700/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/151651/7320/64518/583/135138/29922/64147/64800/2622/219681/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/26140/1767/83659/10233/83853/80258/79925/199223/7802/55036/219670/642987/55329/27019/154865/57639/26206/158787,F7,MOFA,NA,7.776201309299376,flagellated sperm motility
GO:0097722,sperm motility,112,-0.6692649021748429,-3.0332506271789574,1e-10,1.6741666666666666e-8,NA,2718,"tags=54%, list=18%, signal=44%",493/164714/147700/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/151651/7320/64518/583/135138/29922/64147/64800/2622/219681/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/26140/1767/83659/10233/83853/80258/79925/199223/7802/55036/219670/642987/55329/27019/154865/57639/26206/158787,F7,MOFA,NA,7.776201309299376,sperm motility
GO:0022900,electron transport chain,107,0.6608797428897812,2.605846517548374,1e-10,5.479090909090909e-8,NA,1954,"tags=50%, list=13%, signal=43%",6390/4709/4694/4706/27069/4708/7381/4728/4191/27089/4702/1350/1738/2108/1716/4717/1329/1345/1537/4720/5447/2110/4697/7386/4711/7385/1337/55967/23479/57215/1351/4716/4707/1327/51542/4722/54205/4710/7388/57017/1349/27158/4723/51103/54949/2230/65018/9377/4713/4725/440567/83943/84701,F8,MOFA,NA,7.2612914936903135,electron transport chain
GO:0022904,respiratory electron transport chain,98,0.6658029997855082,2.5870320983543507,1e-10,5.479090909090909e-8,NA,1954,"tags=50%, list=13%, signal=44%",6390/4709/4694/4706/27069/4708/7381/4728/4191/27089/4702/1350/1738/2108/1716/4717/1329/1345/1537/4720/2110/4697/7386/4711/7385/1337/55967/23479/1351/4716/4707/1327/51542/4722/54205/4710/7388/57017/1349/4723/51103/54949/65018/9377/4713/4725/440567/83943/84701,F8,MOFA,NA,7.2612914936903135,respiratory electron transport chain
GO:0042773,ATP synthesis coupled electron transport,79,0.6852250237827443,2.5380341608587935,1e-10,5.479090909090909e-8,NA,1765,"tags=54%, list=12%, signal=48%",6390/4709/4694/4706/27069/4708/7381/4728/27089/4702/1350/1738/1716/4717/1329/1345/1537/4720/4697/7386/4711/7385/1337/55967/23479/1351/4716/4707/1327/4722/54205/4710/7388/57017/1349/4723/51103/54949/65018/9377/4713/4725/440567,F8,MOFA,NA,7.2612914936903135,ATP synthesis coupled electron transport
GO:0042775,mitochondrial ATP synthesis coupled electron transport,79,0.6852250237827443,2.5380341608587935,1e-10,5.479090909090909e-8,NA,1765,"tags=54%, list=12%, signal=48%",6390/4709/4694/4706/27069/4708/7381/4728/27089/4702/1350/1738/1716/4717/1329/1345/1537/4720/4697/7386/4711/7385/1337/55967/23479/1351/4716/4707/1327/4722/54205/4710/7388/57017/1349/4723/51103/54949/65018/9377/4713/4725/440567,F8,MOFA,NA,7.2612914936903135,mitochondrial ATP synthesis coupled electron transport
GO:0006119,oxidative phosphorylation,101,0.6478016386536358,2.5244832542954367,1e-10,5.479090909090909e-8,NA,1765,"tags=50%, list=12%, signal=44%",6390/4709/54539/4694/4706/27069/4708/7381/4728/27089/4702/1350/1738/1716/4717/1329/1345/1537/4720/4697/7386/4711/7385/1337/55967/23479/30968/1351/4716/4707/1327/10105/4722/54205/4710/7388/57017/1349/2395/4723/51103/215/54949/84277/65018/9377/4713/4725/6472/440567,F8,MOFA,NA,7.2612914936903135,oxidative phosphorylation
