ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0060173,limb development,12/281,171/13960,0.07017543859649122,3.48629581070113,4.688539793667801,1.7942631997555883e-4,0.009929993134717655,NA,GREM1/PITX2/RAX/AFF3/DLX5/HOXD13/ALX4/HAND2/HOXA13/TBX3/RSPO4/TFAP2A,12,F7
GO:0006939,smooth muscle contraction,9/281,100/13960,0.09,4.471174377224199,4.992843518957958,1.832888620979991e-4,0.009929993134717655,NA,SPHK1/BBS2/MYOCD/ADRA2B/CALCA/RGS2/TBX3/DOCK5/ADRA2C,9,F7
GO:0072163,mesonephric epithelium development,9/281,100/13960,0.09,4.471174377224199,4.992843518957958,1.832888620979991e-4,0.009929993134717655,NA,WT1/ADAMTS16/GREM1/FOXD1/SLIT2/WNT1/TMEM59L/HOXB7/BASP1,9,F7
GO:0072164,mesonephric tubule development,9/281,100/13960,0.09,4.471174377224199,4.992843518957958,1.832888620979991e-4,0.009929993134717655,NA,WT1/ADAMTS16/GREM1/FOXD1/SLIT2/WNT1/TMEM59L/HOXB7/BASP1,9,F7
GO:0042693,muscle cell fate commitment,4/281,15/13960,0.26666666666666666,13.247924080664294,6.802240687186771,1.8410522880730202e-4,0.009929993134717655,NA,WT1/MYOD1/WNT3A/TBX3,4,F7
GO:0001658,branching involved in ureteric bud morphogenesis,7/281,60/13960,0.11666666666666667,5.795966785290629,5.335775278856153,1.927425566104378e-4,0.010233425115035432,NA,WT1/ADAMTS16/GREM1/FOXD1/WNT1/TMEM59L/HOXB7,7,F7
GO:0061326,renal tubule development,9/281,101/13960,0.0891089108910891,4.426905323984355,4.9539313564069944,1.9773407652888731e-4,0.010336929108387063,NA,WT1/ADAMTS16/GREM1/FOXD1/WNT1/TMEM59L/IRX2/IRX3/HOXB7,9,F7
GO:0003151,outflow tract morphogenesis,8/281,80/13960,0.1,4.967971530249111,5.101195251167288,2.0172251712823982e-4,0.01038565323032968,NA,SOX17/PITX2/NPY5R/RYR1/HAND2/ISL1/GATA6/TBX3,8,F7
GO:0021537,telencephalon development,15/281,255/13960,0.058823529411764705,2.9223361942641826,4.440307553328576,2.0803046060307562e-4,0.010546612212137456,NA,EMX1/KIF26A/BBS2/LMX1A/SLC32A1/KCNA1/SLIT2/NPY/UNCX/DLX5/WNT3A/HTR5A/LHX5/CNTNAP2/SCN5A,15,F7
GO:0021543,pallium development,12/281,174/13960,0.06896551724137931,3.4261872622407656,4.615650795784997,2.1105639506337464e-4,0.010546612212137456,NA,EMX1/KIF26A/BBS2/LMX1A/SLC32A1/KCNA1/SLIT2/NPY/WNT3A/HTR5A/LHX5/CNTNAP2,12,F7
GO:0002092,positive regulation of receptor internalization,5/281,28/13960,0.17857142857142858,8.871377732587698,5.9755264824359315,2.143540825667047e-4,0.010556161921183516,NA,GREM1/PCSK9/WNT3A/PLCG2/NTF3,5,F7
